file,page_id,record_type,section,sub_section,name,type,default,description
concepts.html,concepts,metadata,,,title,,,Core Concepts
concepts.html,concepts,metadata,,,tagline,,,The authoritative vocabulary for the WBSKT workflow builder. Covers both the visual canvas UI and the underlying engine runtime — from the elements you drag and drop to the objects the engine creates and manages at runtime.
concepts.html,concepts,metadata,,,badge,,,Spec v1.2
concepts.html,concepts,metadata,,,badge,,,Unified Glossary
concepts.html,concepts,section_intro,Canvas & UI Layer,,,,,The visual objects and interactive surfaces that make up the workflow builder interface. Everything visible in the editor maps to a concept defined here.
concepts.html,concepts,concept,Canvas & UI Layer,Canvas,Canvas,,,"The infinite, pannable and zoomable workspace where a workflow is visually assembled by placing nodes and drawing connections between them."
concepts.html,concepts,concept,Canvas & UI Layer,Node,Node,,,"A single, self-contained processing unit placed on the canvas. Every action, decision, trigger, loop, and data operation in a workflow is represented as a node."
concepts.html,concepts,property,Canvas & UI Layer,Node,Trigger,Entry points that initiate workflow execution in response to an external event. No input ports.,,
concepts.html,concepts,property,Canvas & UI Layer,Node,Logic & Control,"Conditional routing, branching, looping, and parallel join nodes. Shape the execution path.",,
concepts.html,concepts,property,Canvas & UI Layer,Node,Data,"Read, transform, and write values in the WorkflowContext.",,
concepts.html,concepts,property,Canvas & UI Layer,Node,Action,"Perform side-effects: send commands, call external APIs, dispatch notifications.",,
concepts.html,concepts,concept,Canvas & UI Layer,Connection · Wire,Connection · Wire,,,A directed line drawn from one node's output port to another node's input port. The route a Signal travels to activate the next node in the workflow.
concepts.html,concepts,concept,Canvas & UI Layer,Port,Port,,,"A typed attachment point rendered as a colored dot on a node's edge. Every port emits or receives a signal — the color indicates the kind of signal, not a different data carrier. Ports are the anchors for connections."
concepts.html,concepts,concept,Canvas & UI Layer,Properties Panel · Inspector,Properties Panel · Inspector,,,"The configuration sidebar that opens when a node is selected on the canvas. Exposes all editable properties for that node type, organized by group."
concepts.html,concepts,section_intro,Workflow Fundamentals,,,,,"The core objects the engine creates, manages, and executes. Understanding the distinction between a Definition and an Instance is central to working with WBSKT."
concepts.html,concepts,concept,Workflow Fundamentals,Workflow Definition,Workflow Definition,,,"The versioned, saved blueprint that captures the complete canvas topology — every node, connection, port binding, and property value. The definition is the template; it is never itself ""running""."
concepts.html,concepts,concept,Workflow Fundamentals,Workflow Instance,Workflow Instance,,,"A live, in-progress execution spawned from a Workflow Definition. Each instance is isolated — it has its own WorkflowContext, its own execution pointer, and its own lifecycle."
concepts.html,concepts,concept,Workflow Fundamentals,Trigger Node,Trigger Node,,,A specialised class of node that listens to an external event source and initiates workflow execution. Trigger nodes have no input ports — they are always the starting point of a signal chain.
concepts.html,concepts,concept,Workflow Fundamentals,Signal,Signal,,,"The zero-payload notification pulse that travels along a connection from one node's output port to the next node's input port. A signal carries no data — it is a pure ""proceed"" instruction."
concepts.html,concepts,concept,Workflow Fundamentals,WorkflowContext,WorkflowContext,,,"The mutable, shared key-value store that lives inside a Workflow Instance. It is the sole data bus — all nodes read inputs from it and write outputs back to it rather than passing data through connections."
concepts.html,concepts,section_intro,Identity & Routing,,,,,How the engine maps incoming trigger events to the correct workflow instance — or decides to create a new one.
concepts.html,concepts,concept,Identity & Routing,CorrelationKey · Identity,CorrelationKey · Identity,,,The resolved string identifier extracted from an incoming trigger payload that determines which Workflow Instance should receive the event — or whether a new instance should be created.
concepts.html,concepts,property,Identity & Routing,CorrelationKey · Identity,MapOrCreate,"If a matching instance is found, the signal is routed to it. If not, a new instance is created. Default.",,
concepts.html,concepts,property,Identity & Routing,CorrelationKey · Identity,MapOrDiscard,"Only routes to an existing instance. If no match is found, the incoming event is silently dropped.",,
concepts.html,concepts,property,Identity & Routing,CorrelationKey · Identity,AlwaysCreate,"Ignores the resolved key entirely and always spawns a new parallel instance. Useful for stateless, fire-and-forget event logs.",,
concepts.html,concepts,property,Identity & Routing,CorrelationKey · Identity,MapOrReplace,"If a match is found, the existing instance is terminated and a fresh instance starts with the new payload. Use when the latest event must always win.",,
data-set-value.html,data-set-value,metadata,,,title,,,Set Context
data-set-value.html,data-set-value,metadata,,,tagline,,,"The state manager. Explicitly creates, updates, or clears variables within the persistent WorkflowContext. Use this to normalize raw trigger data into clean, semantic variables for downstream logic."
data-set-value.html,data-set-value,metadata,,,badge,,,Spec v1.1
data-set-value.html,data-set-value,metadata,,,badge,,,State Assignment
data-set-value.html,data-set-value,port,Port Overview,Port Overview,set,control,input,
data-set-value.html,data-set-value,port,Port Overview,Port Overview,onComplete,signal,output,
data-set-value.html,data-set-value,port,Port Overview,Port Overview,onError,error,output,
data-set-value.html,data-set-value,property,Node Properties,SetContextNode,assignments,array[obj],required,"A list of operations to perform: { key, value, operation }. Key: The destination path (e.g., $.status). Value: Static data or expression (e.g., $.mqtt_1.payload.val * 1.1)."
data-set-value.html,data-set-value,property,Node Properties,SetContextNode,operation,enum,Set,Set — (Upsert) Creates a new key or overwrites an existing one. Merge — Shallow-merges an object into an existing key. Increment — Adds a value to a numeric variable. Append — Adds an item to an array. Clear — Removes the key from the context.
data-set-value.html,data-set-value,callout,Node Properties,Operation Type Matrix,Implicit Initialization,warn,,"If an Increment or Append operation is performed on a key that does not exist, the engine initializes it as 0 or [] respectively before applying the change."
